run_id,condition,interface,frame_no,timestamp,src,dst,sport,dport,typeid,cot,ioa
attack_fw_only_001,attack_fw_only,DSS2ASW-eth2,75,10.688409286,1.1.10.10,1.1.2.1,32812,2404,46,6,5001
attack_fw_only_001,attack_fw_only,DSS2ASW-eth2,80,10.938564917,1.1.10.10,1.1.2.1,32812,2404,46,6,5002
attack_fw_only_001,attack_fw_only,DSS2ASW-eth2,88,11.188775755,1.1.10.10,1.1.2.1,32812,2404,46,6,5003
attack_fw_only_001,attack_fw_only,DSS2ASW-eth2,93,11.438939552,1.1.10.10,1.1.2.1,32812,2404,46,6,5004
attack_fw_only_001,attack_fw_only,DSS2ASW-eth3,71,10.438261156,1.1.10.10,1.1.2.1,32812,2404,46,6,5000
attack_fw_only_001,attack_fw_only,DSS2ASW-eth3,76,10.688409869,1.1.10.10,1.1.2.1,32812,2404,46,6,5001
attack_fw_only_001,attack_fw_only,DSS2ASW-eth3,81,10.938566000,1.1.10.10,1.1.2.1,32812,2404,46,6,5002
attack_fw_only_001,attack_fw_only,DSS2ASW-eth3,89,11.188776047,1.1.10.10,1.1.2.1,32812,2404,46,6,5003
attack_fw_only_001,attack_fw_only,DSS2ASW-eth3,94,11.438940135,1.1.10.10,1.1.2.1,32812,2404,46,6,5004
attack_fw_only_001,attack_fw_only,DSS2GW-eth1,73,10.438261823,1.1.10.10,1.1.2.1,32812,2404,46,6,5000
attack_fw_only_001,attack_fw_only,DSS2GW-eth1,78,10.688410828,1.1.10.10,1.1.2.1,32812,2404,46,6,5001
attack_fw_only_001,attack_fw_only,DSS2GW-eth1,83,10.938567875,1.1.10.10,1.1.2.1,32812,2404,46,6,5002
attack_fw_only_001,attack_fw_only,DSS2GW-eth1,91,11.188777463,1.1.10.10,1.1.2.1,32812,2404,46,6,5003
attack_fw_only_001,attack_fw_only,DSS2GW-eth1,96,11.438941218,1.1.10.10,1.1.2.1,32812,2404,46,6,5004
attack_fw_only_001,attack_fw_only,DSS2GW-eth2,71,10.438261573,1.1.10.10,1.1.2.1,32812,2404,46,6,5000
attack_fw_only_001,attack_fw_only,DSS2GW-eth2,76,10.688410203,1.1.10.10,1.1.2.1,32812,2404,46,6,5001
attack_fw_only_001,attack_fw_only,DSS2GW-eth2,81,10.938566708,1.1.10.10,1.1.2.1,32812,2404,46,6,5002
attack_fw_only_001,attack_fw_only,DSS2GW-eth2,89,11.188776880,1.1.10.10,1.1.2.1,32812,2404,46,6,5003
attack_fw_only_001,attack_fw_only,DSS2GW-eth2,94,11.438940677,1.1.10.10,1.1.2.1,32812,2404,46,6,5004
attack_fw_only_001,attack_fw_only,DSS3ASW-eth1,64,12.847761026,1.1.10.10,1.1.3.1,42654,2404,46,6,5000
attack_fw_only_001,attack_fw_only,DSS3ASW-eth1,74,13.229718024,1.1.10.10,1.1.3.1,42654,2404,46,6,5001
attack_fw_only_001,attack_fw_only,DSS3ASW-eth1,79,13.479914029,1.1.10.10,1.1.3.1,42654,2404,46,6,5002
attack_fw_only_001,attack_fw_only,DSS3ASW-eth1,84,13.730079992,1.1.10.10,1.1.3.1,42654,2404,46,6,5003
attack_fw_only_001,attack_fw_only,DSS3ASW-eth1,89,13.980234164,1.1.10.10,1.1.3.1,42654,2404,46,6,5004
attack_fw_only_001,attack_fw_only,DSS3ASW-eth2,64,12.847752818,1.1.10.10,1.1.3.1,42654,2404,46,6,5000
attack_fw_only_001,attack_fw_only,DSS3ASW-eth2,74,13.229711149,1.1.10.10,1.1.3.1,42654,2404,46,6,5001
attack_fw_only_001,attack_fw_only,DSS3ASW-eth2,79,13.479906445,1.1.10.10,1.1.3.1,42654,2404,46,6,5002
attack_fw_only_001,attack_fw_only,DSS3ASW-eth2,84,13.730071201,1.1.10.10,1.1.3.1,42654,2404,46,6,5003
attack_fw_only_001,attack_fw_only,DSS3ASW-eth2,89,13.980225498,1.1.10.10,1.1.3.1,42654,2404,46,6,5004
attack_fw_only_001,attack_fw_only,DSS3GW-eth1,57,12.847731360,1.1.10.10,1.1.3.1,42654,2404,46,6,5000
attack_fw_only_001,attack_fw_only,DSS3GW-eth1,67,13.229692816,1.1.10.10,1.1.3.1,42654,2404,46,6,5001
attack_fw_only_001,attack_fw_only,DSS3GW-eth1,72,13.479886904,1.1.10.10,1.1.3.1,42654,2404,46,6,5002
attack_fw_only_001,attack_fw_only,DSS3GW-eth1,77,13.730049659,1.1.10.10,1.1.3.1,42654,2404,46,6,5003
